ID,領域,期,支援番号,正式名称,基本方針,大項目,中項目,小項目,本文頁,PDF頁,原典
basic-共通-1,基本ケア,共通,1,疾患管理の理解の支援,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-1 疾病や心身状態の理解,,15,27,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=27
basic-共通-2,基本ケア,共通,2,併存疾患の把握の支援,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-1 疾病や心身状態の理解,,18,30,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=30
basic-共通-3,基本ケア,共通,3,口腔内の異常の早期発見と歯科受診機会の確保,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-1 疾病や心身状態の理解,,20,32,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=32
basic-共通-4,基本ケア,共通,4,転倒・骨折のリスクや経緯の確認,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-1 疾病や心身状態の理解,,22,34,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=34
basic-共通-5,基本ケア,共通,5,望む生活・暮らしの意向の把握,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-2 現在の生活の全体像の把握,,24,36,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=36
basic-共通-6,基本ケア,共通,6,一週間の生活リズムとその変化を把握することの支援,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-2 現在の生活の全体像の把握,,26,38,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=38
basic-共通-7,基本ケア,共通,7,食事及び栄養の状態の確認,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-2 現在の生活の全体像の把握,,28,40,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=40
basic-共通-8,基本ケア,共通,8,水分摂取状況の把握の支援,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-2 現在の生活の全体像の把握,,30,42,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=42
basic-共通-9,基本ケア,共通,9,コミュニケーション状況の把握の支援,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-2 現在の生活の全体像の把握,,32,44,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=44
basic-共通-10,基本ケア,共通,10,家庭や地域での活動と参加の状況及びその環境の把握の支援,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-2 現在の生活の全体像の把握,,33,45,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=45
basic-共通-11,基本ケア,共通,11,口腔内及び摂食嚥下機能のリスクの予測,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-3 目指す生活を踏まえたリスクの予測,,35,47,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=47
basic-共通-12,基本ケア,共通,12,転倒などのからだに負荷の掛かるリスクの予測,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-3 目指す生活を踏まえたリスクの予測,,37,49,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=49
basic-共通-13,基本ケア,共通,13,感染症の早期発見と治療,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-4 緊急時の対応のための備え,,39,51,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=51
basic-共通-14,基本ケア,共通,14,緊急時の対応,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-1 現在の全体像の把握と生活上の将来予測、備え,Ⅰ-1-4 緊急時の対応のための備え,,41,53,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=53
basic-共通-15,基本ケア,共通,15,本人の意思を捉えるためのエピソード等の把握,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-2 意思決定過程の支援,Ⅰ-2-1 本人の意思を捉える支援,,43,55,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=55
basic-共通-16,基本ケア,共通,16,日常生活における意向の尊重,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-2 意思決定過程の支援,Ⅰ-2-2 意思の表明の支援と尊重,,45,57,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=57
basic-共通-17,基本ケア,共通,17,意思決定支援の必要性の理解,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-2 意思決定過程の支援,Ⅰ-2-2 意思の表明の支援と尊重,,46,58,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=58
basic-共通-18,基本ケア,共通,18,意思決定支援体制の整備,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-2 意思決定過程の支援,Ⅰ-2-3 意思決定支援体制の整備,,47,59,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=59
basic-共通-19,基本ケア,共通,19,将来の生活の見通しを立てることの支援,Ⅰ 尊厳を尊重した意思決定の支援,Ⅰ-2 意思決定過程の支援,Ⅰ-2-4 将来の生活の見通しを立てることの支援,,48,60,https://www.jri.co.jp/file/column/opinion/pdf/2026/0330_tekisetsunacare_r7.pdf#page=60
